method,query_idx,mrr,precision@5,recall@5,ndcg@5
baseline,0,1.0,0.8,0.5,0.8539316501572937
baseline,1,1.0,1.0,1.0,1.0
baseline,2,1.0,0.2,1.0,1.0
baseline,3,1.0,0.6,0.5,0.639945385422766
baseline,4,0.5,0.8,0.6666666666666666,0.6608397947263839
baseline,5,1.0,0.4,0.4,0.48522855511632257
baseline,6,1.0,0.4,0.6666666666666666,0.7039180890341347
baseline,7,0.5,0.4,0.5,0.44149241373678083
baseline,8,0.5,0.8,0.5714285714285714,0.6608397947263839
baseline,9,1.0,1.0,0.5,1.0
baseline,10,0.5,0.4,1.0,0.6934264036172708
baseline,11,0.3333333333333333,0.6,0.42857142857142855,0.4468535299918563
baseline,12,1.0,0.6,0.75,0.8048099750039491
baseline,13,0.0,0.0,0.0,0.0
ner_enhanced,0,1.0,1.0,0.625,1.0
ner_enhanced,1,1.0,1.0,1.0,1.0
ner_enhanced,2,1.0,0.2,1.0,1.0
ner_enhanced,3,1.0,0.8,0.6666666666666666,0.8539316501572937
ner_enhanced,4,1.0,0.6,0.5,0.7227265726449519
ner_enhanced,5,1.0,0.4,0.4,0.5087403079104241
ner_enhanced,6,1.0,0.6,1.0,0.9060254355346823
ner_enhanced,7,0.5,0.4,0.5,0.3973220069685352
ner_enhanced,8,1.0,0.8,0.5714285714285714,0.8687949224876582
ner_enhanced,9,1.0,1.0,0.5,1.0
ner_enhanced,10,0.25,0.4,1.0,0.5012658353418871
ner_enhanced,11,0.5,0.6,0.42857142857142855,0.4912596920895758
ner_enhanced,12,1.0,0.6,0.75,0.787702056960637
ner_enhanced,13,0.0,0.0,0.0,0.0
rlhf,0,1.0,0.8,0.5,0.8539316501572937
rlhf,1,1.0,1.0,1.0,1.0
rlhf,2,1.0,0.2,1.0,1.0
rlhf,3,1.0,0.6,0.5,0.639945385422766
rlhf,4,0.5,0.8,0.6666666666666666,0.6608397947263839
rlhf,5,1.0,0.4,0.4,0.48522855511632257
rlhf,6,1.0,0.4,0.6666666666666666,0.7039180890341347
rlhf,7,0.5,0.4,0.5,0.44149241373678083
rlhf,8,0.5,0.8,0.5714285714285714,0.6608397947263839
rlhf,9,1.0,1.0,0.5,1.0
rlhf,10,0.5,0.4,1.0,0.6934264036172708
rlhf,11,0.3333333333333333,0.6,0.42857142857142855,0.4468535299918563
rlhf,12,1.0,0.6,0.75,0.8048099750039491
rlhf,13,0.0,0.0,0.0,0.0
full_hybrid,0,1.0,1.0,0.625,1.0
full_hybrid,1,1.0,1.0,1.0,1.0
full_hybrid,2,1.0,0.2,1.0,1.0
full_hybrid,3,1.0,0.8,0.6666666666666666,0.8539316501572937
full_hybrid,4,1.0,0.6,0.5,0.7227265726449519
full_hybrid,5,1.0,0.4,0.4,0.5087403079104241
full_hybrid,6,1.0,0.6,1.0,0.9060254355346823
full_hybrid,7,0.5,0.4,0.5,0.3973220069685352
full_hybrid,8,1.0,0.8,0.5714285714285714,0.8687949224876582
full_hybrid,9,1.0,1.0,0.5,1.0
full_hybrid,10,0.25,0.4,1.0,0.5012658353418871
full_hybrid,11,0.5,0.6,0.42857142857142855,0.4912596920895758
full_hybrid,12,1.0,0.6,0.75,0.787702056960637
full_hybrid,13,0.0,0.0,0.0,0.0
